#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Never Fade Away (SAMURAI Cover)","P.T. Adamczyk,Olga Jankowska",58,112,"video game music, ","Classical","Cyberpunk 2077 - Original Score",2020-12-11,04:46,64,47,34,2,8,0,10,-11,E Minor,4,2023-12-26,6pV1lc8lIc8ARNB6KsZukt,"CD PROJEKT RED",9A,https://p.scdn.co/mp3-preview/78932b31ddae77952e9b09789479cadd64d33b85?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ca593ba6b61b7a164ae408b9
2,"Engel","Rammstein",65,96,"german metal, industrial, industrial metal, industrial rock, neue deutsche harte","Metal, Rock","Sehnsucht",1997-08-25,04:24,64,66,1,0,33,0,30,-6,D Major,4,2023-12-26,0xrkyEMkG4dVa5OMLQZOX8,"Vertigo Berlin",10B,,https://i.scdn.co/image/ab67616d00004851a715d32590424cd667879ba3
3,"Promises","Megadeth",34,76,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","The World Needs a Hero",2001-05-14,04:28,37,70,0,0,21,0,0,-6,G Minor,4,2023-12-26,0kAocIIQ0FP9NIKASAjVH5,"Sanctuary Records",6A,,https://i.scdn.co/image/ab67616d000048515545e351774a756c377ea0ee
4,"Rattlehead - Remastered 2018","Megadeth",28,182,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","Warheads On Foreheads",2019-03-22,03:40,17,99,0,24,20,30,0,-4,D Major,4,2023-12-26,6uAFvTE1HH1JzLBIftn2hf,"CAPITOL CATALOG MKT (C92)",10B,,https://i.scdn.co/image/ab67616d00004851b273106fbf562e1131ccc790
5,"Poisonous Shadows","Megadeth",42,136,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","Dystopia",2016-01-22,06:02,24,90,0,4,15,0,10,-4,D Major,4,2023-12-26,1RdDBpGJDIsJTBou1QsJ9B,"AG Records (Megadeth) 2017",10B,,https://i.scdn.co/image/ab67616d00004851db38819ff1e73809f8be6107
6,"She-Wolf - Remastered 2004 / Remixed","Megadeth",58,172,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","Cryptic Writings (Expanded Edition - Remastered)",1997-06-17,03:37,39,92,0,0,57,0,10,-5,A#/B♭ Major,4,2023-12-26,5MhNgheI9IjDxQS5XQ3Ojo,"Capitol Records",6B,,https://i.scdn.co/image/ab67616d0000485176eff96fd2e3f9df3e71b276
7,"Lying In State","Megadeth",40,131,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","Dystopia",2016-01-22,03:34,32,100,0,0,8,20,0,-3,D Major,1,2023-12-26,6gQ0syotEbHeDIYTC4EoSf,"AG Records (Megadeth) 2017",10B,,https://i.scdn.co/image/ab67616d00004851db38819ff1e73809f8be6107
8,"Mechanix","Megadeth",51,129,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","Killing Is My Business...And Business Is Good!",1985-00-00,04:25,35,99,0,48,8,20,30,-5,C♯/D♭ Minor,4,2023-12-26,2bfwYcc1FzkIym0XRkYb7F,"Epic",12A,https://p.scdn.co/mp3-preview/65966e4b6a0948672282c2b90a20bf083e3dd41a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512df329bfcee1cbf47dfc7032
9,"Liar - Remastered","Megadeth",39,102,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","So Far, So Good...So What! (Expanded Edition - Remastered)",1988-01-26,03:20,52,100,0,1,19,10,40,-4,B Minor,4,2023-12-26,5JFaPs5z9eQgj9zqQB8wGQ,"Capitol Records",10A,,https://i.scdn.co/image/ab67616d00004851e949e0e6c9eac438a68f5b37
10,"Never Walk Alone..A Call To Arms","Megadeth",14,91,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","United Abominations",2007-05-08,03:54,36,98,0,0,56,0,0,-3,E Minor,4,2023-12-26,0kUkoFonlu3zd8QgOcbzOk,"The End Records",9A,,https://i.scdn.co/image/ab67616d00004851f8d2a46132326995fa82d8ca
