#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1681,"ARASAN DA","UZI",61,106,"turkish trap","Hip Hop","EL CHAVO",2022-09-09,03:11,74,83,43,24,44,10,10,-7,A#/B♭ Major,4,2023-12-26,5sIHhx9IOpQ7ggv16wLsWZ,"Ava Music / Avrupa Müzik",6B,https://p.scdn.co/mp3-preview/b91a903fc3ffe4329675a3368a2d2b6322b506c5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485149fbfede365b32ce524eec19
1682,"ISABELLE","ROFL Müzik,Fevzi Kaan",0,98,"","","ISABELLE",2022-09-19,00:54,83,45,57,0,77,40,30,-10,C♯/D♭ Major,4,2023-12-26,5pjnyCmA63nolT54f0ssTj,"ROFL Müzik",3B,,https://i.scdn.co/image/ab67616d000048510f246cc434a1793d652db47c
1683,"Murder In My Mind","Kordhell",83,120,"drift phonk","Electronic","Murder In My Mind",2022-01-21,02:25,71,97,1,0,57,10,10,-1,A#/B♭ Major,4,2023-12-26,6qyS9qBy0mEk3qYaH8mPss,"Kordhell",6B,https://p.scdn.co/mp3-preview/ec3b94db31d9fb9821cfea0f7a4cdc9d2a85e969?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511440ffaa43c53d65719e0150
1684,"Step Back!","1nonly,SXMPRA",76,128,"aesthetic rap, drift phonk","Hip Hop, Electronic","Step Back!",2022-09-02,02:30,78,89,19,0,44,20,10,-6,C♯/D♭ Major,4,2023-12-26,6jdwbcH788txYS6Doy1F1j,"NSF Productions LLC",3B,https://p.scdn.co/mp3-preview/e4d4355967669e66d4bbc7a336463b885fff68b3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851da044bcfd7538fda65e3a7fc
1685,"|BONKERS|","staplegun",69,148,"gym phonk","Pop","|BONKERS|",2022-08-02,03:32,75,95,8,88,54,30,20,-6,C Major,4,2023-12-26,2G23H0snYYKYqRlyFvVObS,"staplegun",8B,https://p.scdn.co/mp3-preview/873602c11d1a5a618e9c378d21532e4f0579cd59?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485145e58675b8c3378390e125f7
1686,"WAKE UP!","MoonDeity",77,125,"","","WAKE UP!",2022-08-05,02:22,68,62,0,64,72,0,20,-5,C Major,4,2023-12-26,4B8gtpBuEtU9XUizl6BK2W,"MoonDeity",8B,https://p.scdn.co/mp3-preview/39aec0b2770164a228c11d7c5b1f1196863cd7ba?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a3a0d9665cc88b29b1d69f8f
1687,"vendetta!","MUPP,Sadfriendd",78,126,"drift phonk, hyperpop, aesthetic rap, gym phonk","Hip Hop, Electronic, Pop","vendetta!",2022-05-20,01:47,71,91,18,0,67,10,10,-4,C♯/D♭ Major,4,2023-12-26,5Sk39LuvdwuvL84jD01Dum,"Sadfriendd x MUPP",3B,https://p.scdn.co/mp3-preview/cd65a8904e2b7b26ad4a3cabf9b9c87791052b3e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485145de6f708fe45e7db8d091db
1688,"SHADOW","ONIMXRU,SMITHMANE",76,120,"gym phonk, ","Pop","SHADOW",2022-07-29,02:42,72,69,0,28,53,0,10,-3,G Major,4,2023-12-26,0wGbyS1tExQSwOYu6UceyE,"ONIMXRU x SMITHMANE",9B,https://p.scdn.co/mp3-preview/8da3d397aeefafbb8356a89c23989096c2e87c97?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485199fbaa282e2f0b28fc383a06
1689,"NEON BLADE","MoonDeity",77,95,"","","NEON BLADE",2022-06-01,04:25,55,100,3,92,89,10,60,-2,G Major,4,2023-12-26,0iUrxveyNUBfj0cqjYEijt,"MoonDeity",9B,https://p.scdn.co/mp3-preview/0cf232e81622ab4bbe08b07ef82b672212cb767e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485133364d6b6fd36894f1a3b506
1690,"Superman","Eminem,Dina Rae",86,130,"detroit hip hop, hip hop, rap, ","Hip Hop","The Eminem Show",2002-05-26,05:50,80,76,2,0,58,0,30,-3,E Minor,4,2023-12-26,4woTEX1wYOTGDqNXuavlRC,"Aftermath",9A,,https://i.scdn.co/image/ab67616d000048516ca5c90113b30c3c43ffb8f4
