#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
221,"Deathfire Grasp","Pentakill",54,160,"melodic power metal","Metal","Smite and Ignite",2014-06-03,04:00,37,86,0,16,28,0,30,-5,A Minor,4,2024-01-05,2TpIrrYN70VjU651xOsJzJ,"Riot Games",8A,https://p.scdn.co/mp3-preview/cd3bfc1c00907742ddd362da013080596310d2d1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485111b83ddd0da87a35c322da13
222,"Dread and the Fugitive Mind","Megadeth",27,164,"alternative metal, hard rock, melodic thrash, metal, old school thrash, rock, speed metal, thrash metal","Metal, Rock","The World Needs a Hero",2001-05-14,04:25,51,83,0,21,48,0,0,-5,E Minor,4,2024-01-05,4Bfxp472zIwiSYjZsK76EN,"Sanctuary Records",9A,,https://i.scdn.co/image/ab67616d000048515545e351774a756c377ea0ee
223,"Omae Wa Mou","deadman 死人",5,93,"","","Omae Wa Mou",2017-09-22,01:53,75,74,13,87,71,0,10,-12,C Major,4,2024-01-05,2BgzdxU4uN5Ns8yM2rlLHa,"deadman 死人",8B,,https://i.scdn.co/image/ab67616d00004851375088b9d851e5735dcd1cd2
224,"Rich And Blind","Juice WRLD",64,160,"chicago rap, melodic rap, rap","Hip Hop","Rich And Blind",2018-06-22,03:48,64,62,1,0,45,0,0,-5,A#/B♭ Major,4,2024-01-05,6QNFQJKlZUKr0xlGZ74CZJ,"Juice WRLD / Interscope PS",6B,,https://i.scdn.co/image/ab67616d000048519bc762efb2fc7252289b2a26
225,"What Could Have Been feat. Ray Chen (from the series Arcane League of Legends)","Sting,Ray Chen",64,110,"permanent wave, soft rock, sophisti-pop, taiwan classical performance, violin","Rock, Pop, Classical","Arcane League of Legends (Soundtrack from the Animated Series)",2021-11-20,03:33,42,29,58,0,16,0,0,-9,F Minor,3,2024-01-05,4Oih3RDrSFg3afaOphBVuy,"Riot Games",4A,https://p.scdn.co/mp3-preview/52b8602aac9fcb436454108a745e7428b57afca0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d10169c17651c8b2ab5c8416
226,"Last Dance","(G)I-DLE",9,116,"k-pop girl group","Pop","Last Dance",2021-04-29,03:04,81,84,2,0,36,0,30,-4,D Major,4,2024-01-05,1fxKKzZ6YmnrYmD7fCrBo9,"WM Korea",10B,,https://i.scdn.co/image/ab67616d00004851102305910089a25ebd16aaf5
227,"bad thoughts","bbno$",48,95,"canadian hip hop, dark trap, meme rap","Hip Hop","i don't care at all",2019-11-08,02:32,86,37,12,0,23,10,10,-11,D Major,4,2024-01-05,3VaJpVf2jc9by82sJDIKzy,"bbno$",10B,https://p.scdn.co/mp3-preview/3e72d4a025d73773bbe27a763ec2554875fe800f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b8f8efea25eab02ad81c9774
228,"Salvatore","Lana Del Rey",74,118,"art pop, pop","Pop","Honeymoon",2015-09-18,04:41,30,31,68,0,12,0,10,-10,B Minor,4,2024-01-05,21qg0IBZf8R12qHd9A3AA4,"Polydor Records",10A,,https://i.scdn.co/image/ab67616d00004851a3b3f48ca81acacb3ad4ec8a
229,"Altüst Olmuşum","Mavi Gri",72,83,"turkish alt pop, turkish rock","Pop, Rock","Altüst Olmuşum",2020-09-04,03:22,48,53,25,0,25,0,20,-11,A Minor,4,2024-01-05,13THdxqHT11aSk3G8nUDzZ,"Mavi Gri",8A,https://p.scdn.co/mp3-preview/a7dfc3666de6b60e1e44c4d94b2b78e983be8013?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fd348699521cceeffbf60fbc
230,"So High","Doja Cat",76,132,"dance pop, pop","Pop","So High",2014-03-11,03:21,65,57,13,0,66,0,0,-6,A#/B♭ Minor,4,2024-01-05,2qyhy9ndo8tTGMzXeHTisR,"MAU Records",3A,https://p.scdn.co/mp3-preview/9870438b592c1f6372b2eb9d518be9369523cbd1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b6d713c27625220479563dd5
