#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"imma","bbno$,lentra",51,132,"canadian hip hop, dark trap, meme rap","Hip Hop","good luck have fun",2020-10-09,02:03,97,53,8,0,91,20,0,-9,C Minor,4,2023-12-26,3FxAHJDCXMx9ox4TEQpiIY,"bbno$",5A,https://p.scdn.co/mp3-preview/df7e167c180933f799753cd9b8ac1218a416f78a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851770f784e4ab79dd5963d2c90
2,"my oh my","bbno$",34,108,"canadian hip hop, dark trap, meme rap","Hip Hop","my oh my",2021-05-14,02:35,70,66,1,0,53,0,30,-9,C♯/D♭ Minor,4,2023-12-26,13bwrVGjmhOqDdw9MiaS76,"bbno$",12A,,https://i.scdn.co/image/ab67616d00004851c1539f1f65ca365e846f8f60
3,"pop song","bbno$",34,105,"canadian hip hop, dark trap, meme rap","Hip Hop","i don't care at all",2019-11-08,02:24,94,51,38,0,54,10,0,-8,G Minor,4,2023-12-26,7JFDrixnNbpK5WKdpLx0BY,"bbno$",6A,https://p.scdn.co/mp3-preview/8b5ec56be8fc9fc1c744a52ef418b815a5a4bad0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b8f8efea25eab02ad81c9774
4,"b to the b","bbno$",52,96,"canadian hip hop, dark trap, meme rap","Hip Hop","bag or die",2022-10-21,02:05,87,81,7,0,77,10,0,-6,C♯/D♭ Major,4,2023-12-26,0ZUHykHjqQrwDKfw0Q0ogI,"bbno$",3B,https://p.scdn.co/mp3-preview/9953ec7487aa709bc5be079b8b2cd43e8d187e82?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d8b52e640a1a6ea619f1dc6e
5,"yoga","bbno$,Rebecca Black",30,118,"canadian hip hop, dark trap, meme rap, ","Hip Hop","yoga",2021-10-08,02:37,76,76,4,0,87,20,80,-6,E Minor,4,2023-12-26,584h0fUq9maZhErREt79EA,"bbno$",9A,,https://i.scdn.co/image/ab67616d000048510275d5fb946bfbc78b7f6ea1
6,"Samsun'lu Değilim","Feyyaz Yigit",36,110,"turkish alternative, turkish alternative rock, turkish rock","Pop, Rock","Teşekkür Ettim Ve Yanından Ayrıldım",2017-05-12,04:03,84,53,77,0,65,0,0,-11,D Minor,4,2023-12-26,3gQnfFmavSP7nxhD89gmiq,"Kahir Records",7A,https://p.scdn.co/mp3-preview/6fccfcb90c4345143c7806c28edff67bd98a8441?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518d373adce638335e778db319
7,"iunno","BABY GRAVY,Yung Gravy,bbno$",44,86,"meme rap, minnesota hip hop, canadian hip hop, dark trap","Hip Hop","Baby Gravy 2",2020-02-14,02:37,91,41,23,0,61,20,0,-11,C Minor,4,2023-12-26,1IlWU0ktm7h9HcP2fVpUXW,"Baby Gravy",5A,https://p.scdn.co/mp3-preview/656586aca04334b64940712bfaa4161ae432eaff?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485115f04c6e3d7c57a5a4348bca
8,"astrology","bbno$,lentra",38,112,"canadian hip hop, dark trap, meme rap","Hip Hop","good luck have fun",2020-10-09,01:53,96,61,7,0,50,20,10,-9,C♯/D♭ Major,4,2023-12-26,40zWrjiMhqBPyMn3QR465N,"bbno$",3B,https://p.scdn.co/mp3-preview/3b4258ffe0f21ec1a764d47530c688528252af12?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851770f784e4ab79dd5963d2c90
9,"i see london i see france","bbno$",49,117,"canadian hip hop, dark trap, meme rap","Hip Hop","i see london i see france",2022-10-12,02:32,83,72,1,1,87,0,30,-6,A#/B♭ Minor,4,2023-12-26,4wwoTaV7tQmGTshV7aYjBD,"bbno$",3A,https://p.scdn.co/mp3-preview/0f49d8cfc502f5c365952864923fef8b55d2a3d8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851184a549fc4e4d570ec04fbc0
10,"Rotisserie","Yung Gravy,bbno$",53,96,"meme rap, minnesota hip hop, canadian hip hop, dark trap","Hip Hop","Baby Gravy EP",2017-10-11,02:03,86,67,20,0,45,20,20,-7,C♯/D♭ Major,3,2023-12-26,4zDMybUdMSewKNxmGffD7v,"Yung Gravy & bbno$",3B,https://p.scdn.co/mp3-preview/23f0bc7f3ecc4d05aa4412bd1ebb616f9686a5fa?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511112f72cfed05bbb373ea0e0
