#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
11,"rgb money","bbno$,lentra,Crosby",38,94,"canadian hip hop, dark trap, meme rap, ","Hip Hop","good luck have fun",2020-10-09,02:38,92,43,14,0,65,30,10,-11,G#/A♭ Major,4,2023-12-26,0ceYEBZubve7DYDqgNAWxg,"bbno$",4B,https://p.scdn.co/mp3-preview/2c6a23da6f18aeae2c89572924ce97068d4ce1e2?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851770f784e4ab79dd5963d2c90
12,"sriracha","bbno$,lentra",56,100,"canadian hip hop, dark trap, meme rap","Hip Hop","sriracha",2019-04-19,02:09,92,48,9,0,96,20,10,-9,F Minor,4,2023-12-26,27uqXX6GcgnvzE2QzNaj4z,"no records",4A,https://p.scdn.co/mp3-preview/0260ae8b11704b54d1820005031f28a78a5148e6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485103cd7a1aae8bc7cacb96bb42
13,"Whip A Tesla","Yung Gravy,bbno$",59,170,"meme rap, minnesota hip hop, canadian hip hop, dark trap","Hip Hop","Sensational",2019-05-31,02:33,81,53,18,0,54,30,0,-7,A Minor,4,2023-12-26,6nsyYPCDUSacgXci9mvWln,"Republic Records",8A,,https://i.scdn.co/image/ab67616d0000485115353ebee04814bb8153aa74
14,"thankful","bbno$,Y2K,Lewis Grant",42,135,"canadian hip hop, dark trap, meme rap, pop rap, viral rap, hyperpop","Hip Hop, Pop","recess",2019-01-25,02:54,76,44,80,0,60,0,10,-8,G#/A♭ Major,4,2023-12-26,1hJZvoGEYJAggWTWSPEzVu,"no records",4B,https://p.scdn.co/mp3-preview/d376419db363344c5fa6bfb79636daf07c99c3f6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514f33d03da09cfdf70aa804f3
15,"Myrtle Beach Summer 1974","BABY GRAVY,Yung Gravy,bbno$",44,142,"meme rap, minnesota hip hop, canadian hip hop, dark trap","Hip Hop","Baby Gravy 2",2020-02-14,02:08,83,63,4,18,64,0,0,-8,A Major,4,2023-12-26,42E6UcdoJvsLXFWfdnmKGh,"Baby Gravy",11B,https://p.scdn.co/mp3-preview/25f64dfd2f3e8504b01e0e0256f96d5b93d0b35d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485115f04c6e3d7c57a5a4348bca
16,"mathematics","bbno$",53,170,"canadian hip hop, dark trap, meme rap","Hip Hop","bag or die",2022-10-21,02:27,76,84,6,0,88,20,20,-3,D#/E♭ Minor,4,2023-12-26,3JavZqn7lRvLHbh0YZu7b5,"bbno$",2A,https://p.scdn.co/mp3-preview/8efaae81cdfb798ac5ad955ada7020f6cf6f4611?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d8b52e640a1a6ea619f1dc6e
17,"wussup","bbno$,Yung Gravy",37,75,"canadian hip hop, dark trap, meme rap, minnesota hip hop","Hip Hop","wussup",2021-06-25,02:49,84,62,58,0,83,20,0,-7,A Major,4,2023-12-26,08F29zHZtrUZhtdaroCRKV,"bbno$",11B,,https://i.scdn.co/image/ab67616d00004851aa92dff8d4545fd7857559d9
18,"bag or die","bbno$",59,106,"canadian hip hop, dark trap, meme rap","Hip Hop","bag or die",2022-10-21,01:58,81,66,21,0,28,20,10,-7,A Major,4,2023-12-26,7FQhRfLwklMayNW3MC27up,"bbno$",11B,https://p.scdn.co/mp3-preview/7b4a8d9644dd6d15249327263796d0f366204794?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d8b52e640a1a6ea619f1dc6e
19,"chipotle","bbno$",47,123,"canadian hip hop, dark trap, meme rap","Hip Hop","bag or die",2022-10-21,02:28,79,81,1,0,84,20,30,-6,C♯/D♭ Major,4,2023-12-26,5BOtcyDwMPNAU9O0RX2CbJ,"bbno$",3B,https://p.scdn.co/mp3-preview/56115a84cc9ae38510c375b6cbe6bd641ae42dba?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d8b52e640a1a6ea619f1dc6e
20,"shining on my ex","bbno$,Yung Gravy",55,89,"canadian hip hop, dark trap, meme rap, minnesota hip hop","Hip Hop","i don't care at all",2019-11-08,02:20,65,49,12,0,62,30,0,-9,E Minor,4,2023-12-26,1IhMuuTCpO0K7BM2MmIZ0w,"bbno$",9A,https://p.scdn.co/mp3-preview/2c604f142c745435460af56f53ff294c96df7c50?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b8f8efea25eab02ad81c9774
21,"sophisticated","bbno$",43,150,"canadian hip hop, dark trap, meme rap","Hip Hop","bag or die",2022-10-21,02:59,81,64,6,0,52,20,10,-7,B Minor,4,2023-12-26,2qg0w6wEMKbDlE7DnB5Eso,"bbno$",10A,https://p.scdn.co/mp3-preview/b2c86f271c2443d508cc5fbe850873c124c1ec6b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d8b52e640a1a6ea619f1dc6e
22,"Bandsville","BABY GRAVY,Yung Gravy,bbno$",48,160,"meme rap, minnesota hip hop, canadian hip hop, dark trap","Hip Hop","Baby Gravy 2",2020-02-14,01:53,83,39,13,0,35,40,10,-8,C Major,3,2023-12-26,00SiZEELZ0K4gkUl0rU529,"Baby Gravy",8B,https://p.scdn.co/mp3-preview/cab8ddbe9677cc40da3b36c5f42df612e8ddc386?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485115f04c6e3d7c57a5a4348bca
23,"i remember","bbno$",41,77,"canadian hip hop, dark trap, meme rap","Hip Hop","i remember",2021-09-22,03:23,60,82,0,71,82,0,20,-6,D#/E♭ Major,4,2023-12-26,4MWFPLrhkekG6gcix2l3vJ,"bbno$",5B,,https://i.scdn.co/image/ab67616d00004851e82a389117772d7198cf0596
24,"jimmy neutron","bbno$,LIL MAYO",37,133,"canadian hip hop, dark trap, meme rap, ","Hip Hop","i don't care at all",2019-11-08,02:03,90,47,29,0,80,40,0,-10,C Major,4,2023-12-26,1CauBvI7HoHtVmCJK8z2fn,"bbno$",8B,https://p.scdn.co/mp3-preview/d52952809f094dfa64cfe18e69787ee5c15e5730?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b8f8efea25eab02ad81c9774
25,"Whole Foods (with bbno$)","Yung Gravy,bbno$",47,80,"meme rap, minnesota hip hop, canadian hip hop, dark trap","Hip Hop","Gasanova",2020-10-02,02:39,84,53,24,0,75,20,0,-9,G#/A♭ Major,4,2023-12-26,3vvYa2pEZxsshYtTp6yHNT,"Republic Records",4B,,https://i.scdn.co/image/ab67616d00004851c5e844c860c9717785b7aaa2
26,"top gun","bbno$",55,160,"canadian hip hop, dark trap, meme rap","Hip Hop","bag or die",2022-10-21,02:21,57,88,3,0,78,10,30,-5,D Major,4,2023-12-26,7lQyUSFLyCa8o4rBxsUNPU,"bbno$",10B,https://p.scdn.co/mp3-preview/e66c895fa7f30c686bf071e863ccf900011432fd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d8b52e640a1a6ea619f1dc6e
27,"piccolo","bbno$",57,100,"canadian hip hop, dark trap, meme rap","Hip Hop","bag or die",2022-10-21,02:00,82,87,2,1,63,10,10,-3,B Minor,4,2023-12-26,0Itq17jYPxhIA8XsvQ1SZL,"bbno$",10A,https://p.scdn.co/mp3-preview/4db0ec6b92c7160ad37639142a1966d5f110df75?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d8b52e640a1a6ea619f1dc6e
28,"shining","bbno$,lentra",34,94,"canadian hip hop, dark trap, meme rap","Hip Hop","recess",2019-01-25,02:33,87,60,33,0,78,30,10,-10,C♯/D♭ Major,4,2023-12-26,5ktuxS6OqY2a6ticLNYs2c,"no records",3B,https://p.scdn.co/mp3-preview/c771ac1c2a322c8b37fd83841c9d1e6bee0efea9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514f33d03da09cfdf70aa804f3
29,"on god","bbno$,Lewis Grant",44,120,"canadian hip hop, dark trap, meme rap, hyperpop","Hip Hop, Pop","i don't care at all",2019-11-08,03:14,88,30,11,0,36,10,0,-11,G#/A♭ Major,4,2023-12-26,7a7wbihbtKPnMCq17iECek,"bbno$",4B,https://p.scdn.co/mp3-preview/33e3bd89d25a1c054fd79d45cf673aaa3cacd1f6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b8f8efea25eab02ad81c9774
30,"what would baby do?","bbno$,lentra",35,150,"canadian hip hop, dark trap, meme rap","Hip Hop","what would baby do?",2020-04-17,02:33,80,47,57,0,77,20,10,-12,F#/G♭ Minor,4,2023-12-26,0uLgF7pdj9Gk4ok1z5OVFh,"bbno$",11A,https://p.scdn.co/mp3-preview/03c7aaea65832d57b6418986ad86b80bbd987566?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f38240268a558b4c6e59b8e8
31,"help herself","bbno$,Diamond Pistols",63,168,"canadian hip hop, dark trap, meme rap, ","Hip Hop","help herself",2021-01-29,03:08,61,85,62,35,48,0,10,-8,E Minor,4,2023-12-26,4YMc3A256xFBS0xcT77Qce,"n/a",9A,https://p.scdn.co/mp3-preview/bd91b690a30ad46e310dd0cc106cfbf197a73a78?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cf614ee721dfd6597b5a8ea7
32,"Antidepresan","Mert Demir,Mabel Matiz",71,100,"turkish alt pop, turkish pop","Pop","Antidepresan",2022-11-04,04:00,70,59,3,0,92,0,10,-10,B Minor,4,2023-12-26,4OH5Cd8ZOI1eSgJSC9PYmU,"Pale Records & Pose Records",10A,https://p.scdn.co/mp3-preview/e6d85974d4027dd1662b9e07586a8abcbf8fb77a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516a4753885f8de374c6ff1240
33,"Masal Gibi","Semicenk",69,83,"turkish pop","Pop","Aşırı Doz",2022-10-07,02:43,67,42,38,10,30,0,10,-14,A#/B♭ Major,4,2023-12-26,05QuKF12UfS8ReyTQKbs4o,"Eva Yapım & Eva Records",6B,https://p.scdn.co/mp3-preview/0522c9946d54a7b61eb4d7c783d028be54e2a56a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485124b4d80af894203f42f30a33
34,"UNUTTUM","UZI",60,141,"turkish trap","Hip Hop","EL CHAVO",2022-09-09,02:36,70,70,3,0,76,20,50,-7,C Major,4,2023-12-26,7dFVvPxqk4O32ra3VjfUwU,"Ava Music / Avrupa Müzik",8B,https://p.scdn.co/mp3-preview/0ef9ce62bbf3f992afb3e2a6777e17aecb44fd8f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485149fbfede365b32ce524eec19
35,"Fırtınadayım","Mabel Matiz",70,110,"turkish pop","Pop","Maya",2018-06-20,04:22,49,68,12,0,38,0,20,-6,A Minor,4,2023-12-26,3QopdONAzZHRO1P4UQrNvw,"Zoom",8A,https://p.scdn.co/mp3-preview/c60bcf7d0ddd93ec4c49194d720af725d9c70cde?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851673669edc4c83a8ed2e2b20d
36,"TALIBANA","DEHA INC.,Reckol",1,123,"new school turkce rap, turkce trap metal, turkce drill","Hip Hop, Metal","TALIBANA",2022-12-23,02:38,84,68,8,0,51,20,10,-8,C♯/D♭ Minor,4,2023-12-26,7wANX4VfTwrZrL6inJrqCM,"DEHA INC.",12A,,https://i.scdn.co/image/ab67616d0000485157c3a668b7928d951370452a
37,"Belki","Dedublüman,Mavzer Tabancas",72,184,"turkce slow sarkilar, ","Pop","Belki",2022-08-05,02:43,39,50,32,0,34,0,10,-9,C♯/D♭ Major,4,2023-12-26,5ATwkalJ9FnLp7Zcvxo1rl,"AVRUPA MÜZİK YAPIM",3B,https://p.scdn.co/mp3-preview/286b171f2e98873cadde0c91ddce0241354ba3f9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515ae1aa261c767fe5162dc14a
38,"Ölümle Yaşam Arasında","Mavi Gri,Ahmet Hatipoğlu",71,152,"turkish alt pop, turkish rock, turkish singer-songwriter","Pop, Rock","Ölümle Yaşam Arasında",2022-07-29,02:56,44,62,55,0,48,0,10,-7,G#/A♭ Minor,4,2023-12-26,3ABGx9FyeEdMCjDR5TyfdV,"Mavi Gri",1A,https://p.scdn.co/mp3-preview/7a664b37e08807d7f9c84dcd54dc1972e82e496d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851048726bd779be4ab05863d80
39,"SENIN UGRUNA","UZI,Mavi",70,127,"turkish trap, new school turkce rap","Hip Hop","EL CHAVO",2022-09-09,02:02,79,64,36,1,35,10,10,-7,C♯/D♭ Major,4,2023-12-26,5flH7FY4ledAQboO5a0XQ5,"Ava Music / Avrupa Müzik",3B,https://p.scdn.co/mp3-preview/a7afa76c14c14fb974903b3d54b17d1821ec930f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485149fbfede365b32ce524eec19
40,"25","Ati242",71,120,"turkish hip hop","Hip Hop","25",2022-05-13,03:30,74,74,32,0,41,10,10,-8,B Minor,4,2023-12-26,4HuB9A0O1XwmwTVtTgODm8,"PMC",10A,https://p.scdn.co/mp3-preview/301635927b448571524ddfccf2f5a9db328048d4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485108caa6d45ef97ce44edf1189
41,"robert patekson","bbno$",53,142,"canadian hip hop, dark trap, meme rap","Hip Hop","bag or die",2022-10-21,02:09,92,77,10,0,84,20,10,-6,F Minor,4,2023-12-26,3uOxTzOy7jymEffBWhBM7l,"bbno$",4A,https://p.scdn.co/mp3-preview/8d2c5b2f7cc0a9c793823bcf79031d0538db6048?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d8b52e640a1a6ea619f1dc6e
42,"Off The Goop","BABY GRAVY,Yung Gravy,bbno$,Cuco",43,170,"meme rap, minnesota hip hop, canadian hip hop, dark trap, bedroom pop, dream pop","Pop, Hip Hop","Baby Gravy 2",2020-02-14,02:40,75,55,13,0,54,40,50,-8,C♯/D♭ Major,4,2023-12-26,03lcoVFQXlRdiXHPO2Lu6c,"Baby Gravy",3B,https://p.scdn.co/mp3-preview/70db2eca0da0516767045dbc7abde86ef232dc8d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485115f04c6e3d7c57a5a4348bca
43,"sorry","bbno$",30,166,"canadian hip hop, dark trap, meme rap","Hip Hop","my oh my",2021-05-14,02:47,64,86,49,0,77,0,10,-6,G#/A♭ Major,4,2023-12-26,5bkbo3TxbRuVHNCPiebrXK,"bbno$",4B,,https://i.scdn.co/image/ab67616d00004851c1539f1f65ca365e846f8f60
44,"stucco","bbno$,Y2K",38,94,"canadian hip hop, dark trap, meme rap, pop rap, viral rap","Hip Hop","recess",2019-01-25,02:05,88,58,13,1,51,20,10,-7,C♯/D♭ Major,4,2023-12-26,62L4TDK8myKixbBP1cLGRB,"no records",3B,https://p.scdn.co/mp3-preview/4c9874ca64bc28420265cbfcbcd9cc2d54d8e215?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514f33d03da09cfdf70aa804f3
45,"jack money bean","bbno$,Yung Gravy,lentra",47,92,"canadian hip hop, dark trap, meme rap, minnesota hip hop","Hip Hop","good luck have fun",2020-10-09,02:33,81,52,36,0,76,20,10,-9,C♯/D♭ Major,4,2023-12-26,5eakE6GwfSZritlV8VwoAq,"bbno$",3B,https://p.scdn.co/mp3-preview/bc96532a378222f550f70d8ffd837dfe4effe88c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851770f784e4ab79dd5963d2c90
46,"bad thoughts","bbno$",48,95,"canadian hip hop, dark trap, meme rap","Hip Hop","i don't care at all",2019-11-08,02:32,86,37,12,0,23,10,10,-11,D Major,4,2023-12-26,3VaJpVf2jc9by82sJDIKzy,"bbno$",10B,https://p.scdn.co/mp3-preview/3e72d4a025d73773bbe27a763ec2554875fe800f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b8f8efea25eab02ad81c9774
47,"edamame","bbno$,Rich Brian",62,106,"canadian hip hop, dark trap, meme rap, indonesian hip hop","Hip Hop","eat ya veggies",2021-10-08,02:13,82,85,2,0,69,10,0,-5,E Minor,4,2023-12-26,5rW7qTn83sCKtqBoneJs63,"bbno$",9A,,https://i.scdn.co/image/ab67616d000048518c25aa58d7e0894df7436348
48,"help herself (with BENEE)","bbno$,Diamond Pistols,BENEE",48,168,"canadian hip hop, dark trap, meme rap, alt z, nz pop","Pop, Hip Hop","help herself (with BENEE)",2021-04-30,02:46,59,84,45,2,67,0,10,-7,E Minor,4,2023-12-26,7bhpOnHyttMaBCg6WGCRzi,"bbno$",9A,,https://i.scdn.co/image/ab67616d000048517edd4b9accd775fcb29e8752
49,"nursery","bbno$,lentra",55,105,"canadian hip hop, dark trap, meme rap","Hip Hop","recess",2019-01-25,02:26,93,55,40,0,83,10,0,-8,F Major,4,2023-12-26,2napy7uG4RI74SoyKJVGl5,"no records",7B,https://p.scdn.co/mp3-preview/7d84dbe84c4e7be735b522b6f26863495bd30471?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514f33d03da09cfdf70aa804f3
50,"Wawawa","Y2K,bbno$",41,145,"pop rap, viral rap, canadian hip hop, dark trap, meme rap","Hip Hop","Wawawa",2020-12-11,03:00,86,55,3,0,59,0,0,-9,C♯/D♭ Minor,4,2023-12-26,1bG6qffAzpyiqwZz4zytTt,"Columbia",12A,https://p.scdn.co/mp3-preview/b763f4425e60d35fd5e1287b6ebda47b562e818d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518e8bfb5957e35530e22f1408
51,"bunk","bbno$,lentra,Swerzie",44,114,"canadian hip hop, dark trap, meme rap","Hip Hop","recess",2019-01-25,02:31,91,54,4,0,90,20,0,-8,C♯/D♭ Major,4,2023-12-26,7FzhBc53MGYpJLI9ckUt2r,"no records",3B,https://p.scdn.co/mp3-preview/32eb39761af49c9cd9c7422f0c4a71b129fdf209?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514f33d03da09cfdf70aa804f3
52,"Welcome to Chilis","BABY GRAVY,Yung Gravy,bbno$",63,160,"meme rap, minnesota hip hop, canadian hip hop, dark trap","Hip Hop","Baby Gravy 2",2020-02-14,02:37,84,45,36,0,80,10,0,-9,A#/B♭ Minor,4,2023-12-26,3PdcxgzpWzAsUGgkmykIFc,"Baby Gravy",3A,https://p.scdn.co/mp3-preview/0e8009c95daa1dcc22f984d4c77dfc130707f2a1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485115f04c6e3d7c57a5a4348bca
53,"bad to the bone","bbno$,lentra",38,106,"canadian hip hop, dark trap, meme rap","Hip Hop","bad to the bone",2021-03-19,02:21,95,57,10,0,66,20,0,-8,B Minor,4,2023-12-26,3wTlriqyGE7UX1bebRBtR8,"OFFMETA / bbno$",10A,,https://i.scdn.co/image/ab67616d00004851a217bcf62aa4cba60eeab335
54,"bad girl","bbno$,lentra,BAINS.",48,170,"canadian hip hop, dark trap, meme rap, bc underground hip hop","Hip Hop","bb steps",2018-07-12,02:21,72,56,14,0,66,30,0,-9,G#/A♭ Major,4,2023-12-26,0XoDcV08iB5T3XFbXfAghf,"bbno$",4B,https://p.scdn.co/mp3-preview/5f6e9f3ddc902d142924d10a5c8f9ad4b12c4101?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a12f14b23a5dc572d652207a
55,"gone","bbno$",39,100,"canadian hip hop, dark trap, meme rap","Hip Hop","i don't care at all",2019-11-08,03:21,61,57,13,20,17,0,0,-10,A Minor,4,2023-12-26,2Gok70nLuJVS24OPay7kGW,"bbno$",8A,https://p.scdn.co/mp3-preview/51764287bf76ada0ee0740648b3a3ede395f5462?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b8f8efea25eab02ad81c9774
56,"Justin Bieber Wrist","BABY GRAVY,Yung Gravy,bbno$",37,164,"meme rap, minnesota hip hop, canadian hip hop, dark trap","Hip Hop","Baby Gravy 2",2020-02-14,02:43,70,62,43,0,79,20,20,-7,C♯/D♭ Minor,4,2023-12-26,1Lg8ayJsmrTHzf619nSugF,"Baby Gravy",12A,https://p.scdn.co/mp3-preview/8be8ca28559b68a13b80b061e50a0a68fd01b2d4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485115f04c6e3d7c57a5a4348bca
57,"man in the mirror","bbno$,lentra",47,137,"canadian hip hop, dark trap, meme rap","Hip Hop","good luck have fun",2020-10-09,02:20,85,39,63,0,76,10,30,-13,A Major,4,2023-12-26,4BWvnXjIC4v4QnYYEttEGB,"bbno$",11B,https://p.scdn.co/mp3-preview/8162668e498aff1930e30c4e98714f8b6186f23f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851770f784e4ab79dd5963d2c90
58,"Stay With Me","1nonly",78,127,"aesthetic rap","Hip Hop","Stay With Me",2020-10-11,02:21,68,84,30,0,34,30,30,-8,A Major,5,2023-12-26,2WYs5LxOZfEyURXu7V0O1a,"1nonly",11B,https://p.scdn.co/mp3-preview/9376caedc60f6f2e36315602c9ba5d539b114a08?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851264a0478cccbc94ac61cb479
59,"I Really Want to Stay at Your House","Rosa Walton,Hallie Coggins",76,125,"","","Cyberpunk 2077: Radio, Vol. 2 (Original Soundtrack)",2020-12-18,04:06,49,74,0,0,13,0,0,-7,D#/E♭ Minor,4,2023-12-26,7mykoq6R3BArsSpNDjFQTm,"Lakeshore Records",2A,https://p.scdn.co/mp3-preview/4458f61d9260d98a9143303c0db8a50e4677672a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a91a5b301baac1f46e6f30eb
